activity_key,Activity_Type
1,Cycling
2,Yoga
3,Walking
4,Cycling
5,Weightlifting
6,Yoga
7,Swimming
8,Running
9,Swimming
10,Cycling
11,Swimming
12,Weightlifting
13,Yoga
14,Walking
15,Walking
16,Walking
17,Running
18,Running
19,Weightlifting
20,Cycling
21,Swimming
22,Swimming
23,Weightlifting
24,Walking
25,Running
26,Running
27,Weightlifting
28,Swimming
29,Swimming
30,Weightlifting
31,Yoga
32,Yoga
33,Running
34,Weightlifting
35,Cycling
36,Running
37,Swimming
38,Running
39,Running
40,Running
41,Cycling
42,Weightlifting
43,Walking
44,Walking
45,Weightlifting
46,Running
47,Yoga
48,Yoga
49,Yoga
50,Running
51,Running
52,Weightlifting
53,Cycling
54,Swimming
55,Walking
56,Weightlifting
57,Running
58,Running
59,Yoga
60,Running
61,Walking
62,Running
63,Yoga
64,Swimming
65,Running
66,Yoga
67,Walking
68,Yoga
69,Cycling
70,Running
71,Swimming
72,Swimming
73,Weightlifting
74,Walking
75,Running
76,Yoga
77,Yoga
78,Cycling
79,Yoga
80,Yoga
81,Walking
82,Weightlifting
83,Walking
84,Yoga
85,Cycling
86,Cycling
87,Weightlifting
88,Walking
89,Swimming
90,Weightlifting
91,Walking
92,Running
93,Weightlifting
94,Swimming
95,Weightlifting
96,Running
97,Swimming
98,Running
99,Swimming
100,Walking
101,Swimming
102,Walking
103,Swimming
104,Running
105,Running
106,Running
107,Swimming
108,Running
109,Cycling
110,Walking
111,Walking
112,Cycling
113,Weightlifting
114,Weightlifting
115,Yoga
116,Swimming
117,Cycling
118,Yoga
119,Walking
120,Swimming
121,Running
122,Swimming
123,Running
124,Swimming
125,Running
126,Running
127,Swimming
128,Cycling
129,Yoga
130,Running
131,Yoga
132,Yoga
133,Running
134,Weightlifting
135,Yoga
136,Running
137,Swimming
138,Weightlifting
139,Cycling
140,Swimming
141,Running
142,Swimming
143,Cycling
144,Swimming
145,Walking
146,Yoga
147,Yoga
148,Swimming
149,Yoga
150,Weightlifting
151,Running
152,Yoga
153,Running
154,Cycling
155,Yoga
156,Swimming
157,Walking
158,Swimming
159,Cycling
160,Cycling
161,Walking
162,Running
163,Yoga
164,Walking
165,Swimming
166,Yoga
167,Swimming
168,Weightlifting
169,Running
170,Cycling
171,Walking
172,Walking
173,Weightlifting
174,Walking
175,Running
176,Swimming
177,Walking
178,Yoga
179,Cycling
180,Yoga
181,Yoga
182,Weightlifting
183,Cycling
184,Walking
185,Yoga
186,Running
187,Swimming
188,Weightlifting
189,Walking
190,Weightlifting
191,Cycling
192,Swimming
193,Weightlifting
194,Weightlifting
195,Running
196,Weightlifting
197,Weightlifting
198,Swimming
199,Cycling
200,Swimming
201,Swimming
202,Weightlifting
203,Weightlifting
204,Swimming
205,Walking
206,Cycling
207,Yoga
208,Running
209,Yoga
210,Running
211,Running
212,Cycling
213,Cycling
214,Running
215,Walking
216,Running
217,Swimming
218,Running
219,Cycling
220,Swimming
221,Running
222,Swimming
223,Weightlifting
224,Running
225,Running
226,Cycling
227,Swimming
228,Swimming
229,Running
230,Running
231,Cycling
232,Walking
233,Running
234,Weightlifting
235,Cycling
236,Swimming
237,Running
238,Weightlifting
239,Swimming
240,Yoga
241,Cycling
242,Cycling
