date_key,full_date,day_of_week,month,year
1,2023-03-18,Saturday,3,2023
2,2023-08-20,Sunday,8,2023
3,2023-12-08,Friday,12,2023
4,2023-04-18,Tuesday,4,2023
5,2023-09-19,Tuesday,9,2023
6,2023-02-28,Tuesday,2,2023
7,2023-06-27,Tuesday,6,2023
8,2023-11-04,Saturday,11,2023
9,2023-11-27,Monday,11,2023
10,2023-02-26,Sunday,2,2023
11,2023-03-09,Thursday,3,2023
12,2023-10-23,Monday,10,2023
13,2023-07-29,Saturday,7,2023
14,2023-09-30,Saturday,9,2023
15,2023-08-19,Saturday,8,2023
16,2023-09-13,Wednesday,9,2023
17,2023-04-21,Friday,4,2023
18,2023-04-09,Sunday,4,2023
19,2023-01-30,Monday,1,2023
20,2023-07-14,Friday,7,2023
21,2023-08-26,Saturday,8,2023
22,2023-12-02,Saturday,12,2023
23,2023-04-30,Sunday,4,2023
24,2023-02-17,Friday,2,2023
25,2023-04-12,Wednesday,4,2023
26,2023-05-20,Saturday,5,2023
27,2023-06-29,Thursday,6,2023
28,2023-10-09,Monday,10,2023
29,2023-01-05,Thursday,1,2023
30,2023-12-05,Tuesday,12,2023
31,2023-04-15,Saturday,4,2023
32,2023-11-17,Friday,11,2023
33,2023-05-09,Tuesday,5,2023
34,2023-07-21,Friday,7,2023
35,2023-06-20,Tuesday,6,2023
36,2023-08-14,Monday,8,2023
37,2023-09-05,Tuesday,9,2023
38,2023-01-20,Friday,1,2023
39,2023-06-16,Friday,6,2023
40,2023-04-19,Wednesday,4,2023
41,2023-07-10,Monday,7,2023
42,2023-04-27,Thursday,4,2023
43,2023-01-12,Thursday,1,2023
44,2023-09-19,Tuesday,9,2023
45,2023-06-10,Saturday,6,2023
46,2023-08-10,Thursday,8,2023
47,2023-05-02,Tuesday,5,2023
48,2023-12-01,Friday,12,2023
49,2023-06-10,Saturday,6,2023
50,2023-11-08,Wednesday,11,2023
51,2023-03-18,Saturday,3,2023
52,2023-08-05,Saturday,8,2023
53,2023-09-18,Monday,9,2023
54,2023-06-25,Sunday,6,2023
55,2023-05-20,Saturday,5,2023
56,2023-07-21,Friday,7,2023
57,2023-07-17,Monday,7,2023
58,2023-10-22,Sunday,10,2023
59,2023-09-19,Tuesday,9,2023
60,2023-03-19,Sunday,3,2023
61,2023-04-09,Sunday,4,2023
62,2023-02-23,Thursday,2,2023
63,2023-06-19,Monday,6,2023
64,2023-01-04,Wednesday,1,2023
65,2023-06-30,Friday,6,2023
66,2023-05-22,Monday,5,2023
67,2023-07-22,Saturday,7,2023
68,2023-10-13,Friday,10,2023
69,2023-11-02,Thursday,11,2023
70,2023-04-06,Thursday,4,2023
71,2023-01-03,Tuesday,1,2023
72,2023-11-24,Friday,11,2023
