lifestyle_key,Diet_Type,Smoking_Alcohol,Physical_Activity_Level
1,veg,yes,active
2,veg,occasional,active
3,non-veg,no,active
4,veg,no,active
5,non-veg,occasional,sedentary
6,balanced,no,moderate
7,non-veg,yes,moderate
8,veg,occasional,active
9,non-veg,no,active
10,non-veg,yes,active
11,balanced,yes,active
12,non-veg,occasional,sedentary
13,balanced,no,sedentary
14,veg,yes,active
15,veg,no,active
16,veg,yes,moderate
17,non-veg,occasional,moderate
18,non-veg,occasional,sedentary
19,veg,occasional,sedentary
20,balanced,yes,moderate
21,veg,occasional,active
22,non-veg,occasional,sedentary
23,non-veg,no,moderate
24,non-veg,yes,moderate
25,balanced,no,sedentary
26,veg,occasional,sedentary
27,veg,occasional,moderate
28,veg,yes,sedentary
29,balanced,yes,sedentary
30,balanced,occasional,moderate
31,balanced,occasional,sedentary
32,non-veg,occasional,sedentary
33,non-veg,occasional,active
34,balanced,occasional,active
35,non-veg,yes,sedentary
36,balanced,yes,active
37,balanced,occasional,active
38,non-veg,occasional,active
39,non-veg,no,sedentary
40,veg,occasional,sedentary
41,balanced,yes,active
42,balanced,occasional,active
43,non-veg,no,active
44,balanced,no,active
45,non-veg,no,moderate
46,non-veg,no,moderate
47,balanced,occasional,moderate
48,veg,no,moderate
49,non-veg,occasional,active
50,balanced,yes,sedentary
51,non-veg,no,sedentary
52,balanced,yes,sedentary
53,balanced,no,active
54,non-veg,no,moderate
55,non-veg,no,sedentary
56,veg,no,moderate
57,non-veg,no,moderate
58,veg,occasional,sedentary
59,non-veg,no,sedentary
60,non-veg,yes,moderate
61,non-veg,yes,active
62,balanced,no,moderate
63,non-veg,occasional,moderate
64,veg,occasional,moderate
65,balanced,yes,moderate
66,non-veg,occasional,sedentary
67,veg,yes,moderate
68,veg,yes,active
69,non-veg,yes,active
70,balanced,no,moderate
71,veg,yes,active
72,veg,occasional,active
73,non-veg,occasional,sedentary
74,balanced,no,active
75,non-veg,occasional,active
76,veg,yes,moderate
77,balanced,yes,moderate
78,veg,no,moderate
79,veg,no,moderate
80,balanced,no,moderate
81,balanced,occasional,sedentary
82,balanced,no,active
83,balanced,yes,active
84,balanced,occasional,sedentary
85,veg,yes,sedentary
86,non-veg,yes,moderate
87,balanced,no,moderate
88,veg,yes,moderate
89,veg,no,moderate
90,non-veg,occasional,moderate
91,balanced,occasional,moderate
92,balanced,no,active
93,balanced,yes,moderate
94,veg,yes,active
95,balanced,no,moderate
96,balanced,occasional,sedentary
97,veg,no,moderate
98,non-veg,yes,active
99,veg,occasional,sedentary
100,veg,no,active
101,balanced,yes,active
102,balanced,yes,active
103,veg,occasional,sedentary
104,veg,occasional,moderate
105,veg,yes,moderate
106,balanced,occasional,sedentary
107,non-veg,yes,sedentary
108,balanced,yes,active
109,non-veg,no,sedentary
110,balanced,no,moderate
111,balanced,yes,moderate
112,non-veg,yes,sedentary
113,non-veg,yes,moderate
114,balanced,no,moderate
115,veg,no,sedentary
116,non-veg,no,sedentary
117,veg,yes,active
118,non-veg,occasional,active
119,veg,no,moderate
120,veg,yes,sedentary
121,balanced,no,moderate
122,balanced,yes,moderate
123,veg,no,moderate
124,balanced,yes,sedentary
125,veg,occasional,sedentary
126,balanced,yes,moderate
127,balanced,occasional,moderate
128,balanced,yes,active
129,balanced,yes,moderate
130,non-veg,no,active
131,veg,no,moderate
132,veg,no,active
133,balanced,no,moderate
134,non-veg,yes,sedentary
135,veg,yes,sedentary
136,veg,no,moderate
137,non-veg,occasional,sedentary
138,veg,yes,sedentary
139,veg,occasional,moderate
140,veg,occasional,moderate
141,non-veg,occasional,sedentary
142,balanced,occasional,active
143,non-veg,yes,moderate
144,balanced,no,moderate
145,balanced,no,sedentary
146,balanced,yes,sedentary
147,veg,no,active
148,veg,no,active
149,balanced,no,moderate
150,balanced,yes,moderate
151,balanced,yes,sedentary
152,veg,yes,moderate
153,balanced,yes,sedentary
154,balanced,occasional,moderate
155,balanced,no,active
156,veg,yes,moderate
157,non-veg,no,sedentary
158,non-veg,no,sedentary
159,balanced,no,sedentary
160,balanced,no,sedentary
161,non-veg,yes,moderate
162,veg,yes,sedentary
163,veg,yes,sedentary
164,non-veg,yes,active
165,non-veg,yes,moderate
166,veg,yes,sedentary
167,veg,no,active
168,veg,no,moderate
169,non-veg,yes,sedentary
170,non-veg,yes,moderate
171,veg,no,active
172,balanced,yes,active
173,balanced,no,active
174,non-veg,occasional,moderate
175,balanced,occasional,moderate
176,balanced,no,active
177,balanced,no,active
178,balanced,occasional,sedentary
179,balanced,yes,moderate
180,balanced,no,moderate
181,balanced,yes,sedentary
182,veg,no,moderate
183,veg,yes,sedentary
184,balanced,yes,moderate
185,balanced,occasional,sedentary
186,balanced,no,sedentary
187,veg,occasional,active
188,non-veg,yes,sedentary
189,veg,occasional,moderate
190,veg,no,active
191,balanced,yes,moderate
192,veg,no,sedentary
193,non-veg,no,moderate
194,veg,yes,active
195,balanced,yes,moderate
196,non-veg,yes,moderate
197,balanced,occasional,sedentary
198,balanced,occasional,active
199,veg,yes,moderate
200,balanced,no,sedentary
201,balanced,no,active
202,balanced,yes,active
203,balanced,yes,moderate
204,veg,no,moderate
205,veg,no,moderate
206,non-veg,occasional,sedentary
207,non-veg,occasional,sedentary
208,veg,no,active
209,veg,no,moderate
210,veg,no,sedentary
211,veg,no,sedentary
