sleep_key,Sleep_Quality
1,average
2,average
3,average
4,average
5,poor
6,average
7,good
8,good
9,average
10,average
11,average
12,poor
13,good
14,poor
15,average
16,poor
17,good
18,poor
19,good
20,average
21,good
22,poor
23,good
24,average
25,average
26,good
27,good
28,good
29,good
30,good
31,average
32,good
33,average
34,poor
35,good
36,average
37,good
38,average
39,poor
40,poor
41,average
42,good
43,good
44,average
45,average
46,good
47,poor
48,poor
49,good
50,good
51,average
52,average
53,good
54,good
55,poor
56,poor
57,good
58,average
59,average
60,poor
61,average
62,average
63,poor
64,poor
65,good
66,average
67,good
68,average
69,average
70,good
71,good
72,poor
73,good
74,good
75,good
76,average
77,good
78,average
79,good
80,average
81,poor
82,good
83,average
84,poor
85,good
86,poor
87,average
88,poor
89,average
90,average
91,good
92,average
93,poor
94,good
95,poor
96,good
97,good
98,good
99,poor
100,poor
101,poor
102,poor
103,poor
104,good
105,poor
106,average
107,good
108,average
109,average
110,good
111,good
112,good
113,poor
114,average
115,good
116,average
117,good
118,good
119,poor
120,good
121,average
122,good
123,good
124,poor
125,poor
126,poor
127,average
128,average
129,poor
130,poor
131,poor
132,poor
133,average
134,poor
135,average
136,average
137,good
138,poor
139,poor
140,average
141,poor
142,poor
143,poor
144,average
145,average
146,good
147,average
148,poor
149,good
150,average
151,good
152,good
153,average
154,good
155,average
156,poor
157,good
158,poor
159,average
160,poor
161,average
162,poor
163,poor
164,average
165,good
166,good
167,poor
168,average
169,poor
170,good
171,good
172,average
173,good
174,poor
175,poor
176,poor
177,good
178,good
179,average
180,average
181,poor
182,good
183,poor
184,poor
185,good
186,poor
187,poor
188,poor
189,poor
190,poor
191,good
192,average
193,average
194,poor
195,good
196,good
197,poor
198,poor
199,average
200,poor
201,poor
202,good
203,average
204,average
205,good
206,poor
207,good
208,poor
209,average
210,poor
211,average
212,poor
213,good
214,average
215,average
216,poor
217,good
218,good
219,average
220,average
221,average
222,average
223,good
224,average
225,poor
226,poor
227,average
228,average
229,average
230,poor
231,good
232,good
233,poor
234,good
235,average
236,average
237,poor
238,poor
239,average
240,poor
241,poor
242,poor
243,average
244,poor
245,good
246,average
247,average
248,good
249,poor
250,poor
251,average
252,good
253,good
254,good
255,good
256,average
257,good
258,good
259,average
260,poor
261,average
262,good
263,good
264,average
265,good
266,good
267,average
268,poor
269,poor
270,good
271,poor
272,average
273,average
274,average
275,poor
276,average
277,good
278,poor
279,good
280,good
281,good
282,poor
283,good
284,average
285,average
286,good
287,poor
288,average
289,good
290,poor
291,good
292,good
293,average
294,poor
295,poor
296,good
297,average
298,poor
299,average
300,average
301,poor
302,good
303,poor
304,average
305,poor
306,good
307,good
308,poor
309,average
310,poor
311,poor
312,good
313,average
314,good
315,good
316,average
317,good
318,average
319,average
320,poor
321,average
322,poor
323,poor
324,average
325,average
326,good
327,good
328,poor
329,good
330,good
331,poor
332,good
333,poor
334,good
335,poor
336,poor
337,good
338,average
339,average
340,good
341,good
342,average
343,good
344,average
345,average
346,average
347,poor
348,poor
349,good
350,average
351,average
352,average
353,good
354,average
355,average
356,poor
357,good
358,good
359,average
360,good
361,good
362,average
363,poor
364,poor
365,average
366,good
367,poor
368,good
369,good
370,good
371,average
372,good
373,poor
374,poor
375,average
376,average
377,average
378,average
379,average
380,poor
381,poor
382,good
383,good
384,average
385,poor
386,average
387,good
388,poor
389,poor
390,poor
391,poor
392,average
393,poor
394,poor
395,average
396,average
397,poor
398,good
399,poor
400,average
401,good
402,average
403,good
404,average
405,average
406,poor
407,good
408,average
409,average
410,good
411,poor
412,poor
413,average
414,good
415,poor
416,poor
417,poor
418,average
419,good
420,poor
421,good
422,average
423,poor
424,poor
425,good
426,average
427,good
428,good
429,poor
430,good
431,average
432,good
433,good
434,poor
435,average
436,average
437,average
438,average
439,good
440,average
441,average
442,average
443,average
444,average
445,average
446,poor
447,poor
448,good
449,good
450,average
451,good
452,poor
453,good
454,good
455,average
456,poor
457,average
458,good
459,good
460,poor
461,poor
462,poor
463,good
464,average
465,poor
466,average
467,average
468,poor
469,average
470,average
471,average
472,poor
473,average
474,poor
475,average
476,good
477,average
478,poor
479,poor
480,average
481,poor
482,average
483,average
484,good
485,average
486,good
487,poor
488,good
489,average
490,average
491,good
492,poor
493,average
494,poor
495,good
496,average
497,good
498,poor
499,poor
500,average
501,average
502,poor
503,good
504,poor
505,average
506,average
507,good
508,poor
509,poor
510,average
511,poor
512,good
513,poor
514,average
515,average
516,average
517,poor
518,good
519,average
520,average
521,average
522,average
523,good
524,good
525,poor
526,poor
527,poor
528,poor
529,average
530,average
531,poor
532,average
533,good
534,poor
535,average
536,good
537,good
538,average
539,poor
540,average
541,good
542,average
543,good
544,good
545,poor
546,average
547,good
548,average
549,poor
550,good
551,good
552,average
553,good
554,poor
555,average
556,poor
557,average
558,poor
559,average
560,average
561,average
562,good
563,good
564,good
565,poor
566,poor
567,average
568,average
569,average
570,good
571,good
572,poor
573,average
574,average
575,poor
576,good
577,average
578,average
579,poor
580,poor
581,good
582,poor
583,good
584,good
585,poor
586,average
587,poor
588,good
589,poor
590,good
591,good
592,good
593,good
594,poor
595,good
596,good
597,poor
598,average
599,good
600,poor
601,good
602,good
603,good
604,poor
605,poor
606,average
607,poor
608,good
609,good
610,good
611,average
612,poor
613,average
614,good
615,average
616,poor
617,good
618,average
619,good
620,poor
621,good
622,poor
623,average
624,good
625,average
626,poor
627,poor
628,average
629,average
630,poor
631,poor
632,poor
633,poor
634,good
635,average
636,good
637,good
638,good
639,average
640,poor
641,poor
642,average
643,good
644,good
645,good
646,average
647,average
648,good
649,average
650,average
651,good
652,average
653,average
654,poor
655,average
656,average
657,poor
658,average
659,good
660,poor
661,good
662,good
663,poor
664,poor
665,poor
666,good
667,good
668,good
669,poor
670,poor
671,poor
672,good
673,good
674,average
675,poor
676,average
677,poor
678,good
679,average
680,poor
681,average
682,average
683,good
684,good
685,good
686,good
687,good
688,poor
689,poor
690,good
691,average
692,poor
693,average
694,average
695,average
696,poor
697,good
698,poor
699,good
700,average
701,poor
702,average
703,average
704,good
705,average
706,good
707,average
708,good
709,good
710,good
711,poor
712,poor
713,poor
714,poor
715,good
716,poor
717,good
718,average
719,average
720,average
721,average
722,good
723,good
724,good
725,good
726,average
727,good
728,poor
729,average
730,average
731,good
732,average
733,poor
734,poor
735,good
736,average
737,average
738,average
739,average
740,poor
741,average
742,average
743,good
744,good
745,poor
746,poor
747,poor
748,poor
749,poor
750,poor
751,poor
752,good
753,poor
754,poor
755,average
756,average
757,poor
758,average
759,good
760,average
761,poor
762,poor
763,good
764,average
765,good
766,good
767,good
768,average
769,average
770,poor
771,average
772,good
773,good
774,average
775,average
776,poor
777,average
778,poor
779,poor
780,poor
781,good
782,good
783,good
784,good
785,poor
786,average
787,poor
788,average
789,average
790,good
791,poor
792,poor
793,average
794,poor
795,good
796,average
797,average
798,good
799,average
800,good
801,poor
802,average
803,poor
804,average
805,poor
806,good
807,average
808,poor
809,average
810,average
811,average
812,poor
813,poor
814,good
815,good
816,good
817,poor
818,average
819,poor
820,average
821,poor
822,average
823,poor
824,average
825,poor
826,poor
827,average
828,poor
829,poor
830,average
831,good
832,poor
833,average
834,good
835,good
836,average
837,good
838,average
839,poor
840,average
841,good
842,poor
843,good
844,poor
845,poor
846,poor
847,good
848,poor
849,good
850,good
851,average
852,poor
853,good
854,poor
855,average
856,good
857,poor
858,good
859,good
860,average
861,poor
862,average
863,average
864,poor
865,average
866,good
867,good
868,poor
869,poor
870,good
871,average
872,poor
873,poor
874,good
875,average
876,good
877,poor
878,good
879,good
880,poor
881,good
882,good
883,poor
884,poor
885,good
886,good
887,average
888,poor
889,good
890,poor
891,poor
892,poor
893,good
894,average
895,average
896,poor
897,good
898,poor
899,average
900,average
901,poor
902,good
903,good
904,average
905,poor
906,poor
907,good
908,average
909,average
910,average
911,poor
912,poor
913,poor
914,good
915,good
916,good
917,good
918,average
919,poor
920,average
921,good
922,poor
923,good
924,good
925,poor
926,average
927,poor
928,poor
929,average
930,average
931,good
932,average
933,good
934,poor
935,good
936,average
937,good
938,poor
939,average
940,good
941,average
942,average
943,average
944,poor
945,good
946,good
947,average
948,poor
949,average
950,poor
951,average
952,good
953,poor
954,average
955,good
956,average
957,poor
958,poor
959,average
960,good
961,good
962,average
963,average
964,good
965,good
966,average
967,average
968,poor
969,good
970,average
971,poor
972,good
973,poor
974,good
975,average
976,average
977,average
978,good
979,good
980,average
981,poor
982,poor
983,average
984,poor
985,poor
986,good
987,good
988,average
989,good
990,average
991,average
992,good
993,poor
994,poor
995,average
996,good
997,good
998,average
999,poor
1000,good
1001,average
1002,good
1003,good
1004,poor
1005,average
1006,average
1007,good
1008,poor
1009,poor
1010,average
1011,good
1012,good
1013,poor
1014,good
1015,average
1016,poor
1017,good
1018,average
1019,good
1020,average
1021,good
1022,average
1023,average
1024,average
1025,good
1026,average
1027,average
1028,average
1029,good
1030,poor
1031,average
1032,average
1033,average
1034,poor
1035,poor
1036,poor
1037,good
1038,good
1039,good
1040,good
1041,average
1042,average
1043,average
1044,average
1045,average
1046,poor
1047,average
1048,average
1049,average
1050,poor
1051,good
1052,average
1053,good
1054,average
1055,good
1056,good
1057,average
1058,good
1059,poor
1060,good
1061,average
1062,average
1063,poor
1064,poor
1065,poor
1066,average
1067,poor
1068,poor
1069,average
1070,average
1071,average
1072,average
1073,poor
1074,poor
1075,poor
1076,good
1077,poor
1078,good
1079,good
1080,good
1081,poor
1082,average
1083,poor
1084,poor
1085,good
1086,average
1087,average
1088,good
1089,average
1090,poor
1091,average
1092,good
1093,poor
1094,average
1095,average
1096,good
1097,average
1098,poor
1099,poor
1100,poor
1101,good
1102,poor
1103,good
1104,poor
1105,poor
1106,poor
1107,average
1108,poor
1109,good
1110,good
1111,good
1112,good
1113,poor
1114,average
1115,poor
1116,poor
1117,good
1118,poor
1119,good
1120,poor
1121,good
1122,average
1123,good
1124,poor
1125,good
1126,poor
1127,average
1128,poor
1129,good
1130,poor
1131,good
1132,good
1133,poor
1134,average
1135,poor
1136,poor
1137,good
1138,good
1139,average
1140,average
1141,good
1142,poor
1143,good
1144,poor
1145,poor
1146,good
1147,average
1148,poor
1149,poor
1150,good
1151,average
1152,good
1153,poor
1154,good
1155,good
1156,average
1157,average
1158,poor
1159,average
1160,good
1161,good
1162,good
1163,good
1164,average
1165,average
1166,average
1167,average
1168,poor
1169,average
1170,good
1171,poor
1172,poor
1173,good
1174,average
1175,average
1176,good
1177,poor
1178,poor
1179,poor
1180,average
1181,poor
1182,average
1183,good
1184,average
1185,average
1186,average
1187,good
1188,poor
1189,average
1190,average
1191,poor
1192,average
1193,poor
1194,poor
1195,poor
1196,poor
1197,good
1198,poor
1199,poor
1200,average
1201,average
1202,average
1203,good
1204,good
1205,average
1206,average
1207,good
1208,poor
1209,average
1210,poor
1211,average
1212,good
1213,poor
1214,poor
1215,average
1216,average
1217,good
1218,good
1219,average
1220,good
1221,average
1222,poor
1223,average
1224,average
1225,poor
1226,average
1227,good
1228,poor
1229,poor
1230,good
1231,average
1232,good
1233,good
1234,good
1235,good
1236,average
1237,average
1238,average
1239,average
1240,poor
1241,average
1242,good
1243,poor
1244,good
1245,poor
1246,good
1247,average
1248,good
1249,poor
1250,average
1251,poor
1252,good
1253,average
1254,good
1255,poor
1256,good
1257,poor
1258,good
1259,poor
1260,poor
1261,average
1262,poor
1263,good
1264,good
1265,good
1266,average
1267,poor
